id,name,pop11
1,A,1000
2,B,2000
3,C,3000
4,D,4000
5,E,5000
6,F,6000
7,G,7000
8,H,8000
9,I,9000
10,J,10000
11,K,11000
12,L,12000
13,M,13000
14,N,14000
15,O,15000
16,P,16000
17,Q,17000
18,R,18000
19,S,19000
20,T,20000
21,U,21000
22,V,22000
23,W,23000
24,X,24000
25,Y,25000
26,Z,26000
27,AA,27000
28,BB,28000
29,CC,29000
30,DD,30000
31,EE,31000
32,FF,32000
33,GG,33000
34,HH,34000
35,II,35000
36,JJ,36000
37,KK,37000
38,LL,38000
39,MM,39000
40,NN,40000
41,OO,41000
42,PP,42000
43,QQ,43000
44,RR,44000
45,SS,45000
46,TT,46000
47,UU,47000
48,VV,48000
49,WW,49000
50,XX,50000
51,YY,51000
52,ZZ,52000
53,AAA,53000
54,BBB,54000
55,CCC,55000
56,DDD,56000
57,EEE,57000
58,FFF,58000
59,GGG,59000
60,HHH,60000
61,III,61000
62,JJJ,62000
63,KKK,63000
64,LLL,64000
65,MMM,65000
66,NNN,66000
67,OOO,67000
68,PPP,68000
69,QQQ,69000
70,RRR,70000
71,SSS,71000
72,TTT,72000
73,UUU,73000
74,VVV,74000
75,WWW,75000
76,XXX,76000
77,YYY,77000
78,ZZZ,78000
